Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
Baker Hughes - Gillette District,Integrated Oilfield Services / District Lead,Global / Local District,High,US Highway 14 industrial corridor; exact address pending,Gillette,WY,Needs direct confirmation,https://www.bakerhughes.com/,44.291100,-105.502200,Discovery lead; exact facility geocode pending,High,Map listing visible in user-provided screenshot 2026-06-22; official location confirmation pending,User-provided Google Maps screenshot 2026-06-22,Visible as Baker Hughes Gillette; verify active product lines and exact address against company source.,Strong oilfield fit; local facility status pending verification,New corridor discovery lead,V2.20 Gillette corridor expansion,44.2911,-105.5022,,,City centroid / physical address needed,44.291100|-105.502200,22,Constellation layout at shared city; tooltip opens on click
W/W Mobile Testing,Mobile Well Testing / Production Testing,Local,High,3716 Garman Rd B,Gillette,WY,(307) 318-8156,https://www.facebook.com/profile.php?id=61576821893972#,44.3310901,-105.5209537,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=16101022548565168222 ; https://www.facebook.com/profile.php?id=61576821893972#,"Verify legal name services phone and exact address. ; Google Places profile matched W/W Mobile Testing LLC; 3716 Garman Rd B, Gillette, WY 82716, USA; (307) 318-8156; status OPERATIONAL; researched 2026-06-24",Likely oilfield specific; qualification pending,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.3310901|-105.5209537,1,Single marker; tooltip opens on click
Butler Field Services,Field Services / Production Support,Local,High,3312 Garman Rd,Gillette,WY,Needs direct confirmation,,44.3270752,-105.5210524,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=2949898635507963691,"Service scope and operating status require direct verification. ; Google Places profile matched Butler Field Services; 3312 Garman Rd, Gillette, WY 82716, USA; phone not listed; status OPERATIONAL; researched 2026-06-24",Likely oilfield specific; qualification pending,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.3270752|-105.5210524,1,Single marker; tooltip opens on click
ABM Well Service,Well Service / Workover,Local,High,2906 Hackathorn Ln,Gillette,WY,(307) 660-8170,https://www.abmwellservice.com/,44.3235872,-105.5264858,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=4154425558949835829 ; https://www.abmwellservice.com/,"Verify fleet capabilities phone legal entity and exact address. ; Google Places profile matched ABM Well Service; 2906 Hackathorn Ln, Gillette, WY 82716, USA; (307) 660-8170; status OPERATIONAL; researched 2026-06-24",Strong oilfield fit; current status pending verification,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.3235872|-105.5264858,1,Single marker; tooltip opens on click
Pluggin Along,Well Plugging / Abandonment,Local,High,W 2nd St,Gillette,WY,Needs direct confirmation,https://plugginalong.com/,44.319503,-105.530012,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=4384243692314364339 ; https://plugginalong.com/,"Verify spelling legal entity plugging capability and current operations. ; Google Places profile matched Pluggin Along; W 2nd St, Gillette, WY 82716, USA; phone not listed; status OPERATIONAL; researched 2026-06-24",Likely oilfield plugging fit; qualification pending,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.319503|-105.530012,1,Single marker; tooltip opens on click
American Compressor Solutions,Compression / Gas Services,Local / Regional,High,1400 Ratcliff Dr,Gillette,WY,(307) 685-8101,http://acswy.com/,44.3205617,-105.5226174,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided lead 2026-06-22 ; https://maps.google.com/?cid=4427216143214883584 ; http://acswy.com/,"Confirm compressor sales rental field service and exact local facility. ; Google Places profile matched AMERICAN COMPRESSOR SOLUTIONS LLC; 1400 Ratcliff Dr, Gillette, WY 82716, USA; (307) 685-8101; status OPERATIONAL; researched 2026-06-24",Likely oilfield specific; qualification pending,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.3205617|-105.5226174,1,Single marker; tooltip opens on click
PS Services,Oilfield Services / Qualification Pending,Local,Medium,806 Ratcliff Dr,Gillette,WY,(307) 696-8098,,44.3208547,-105.5182568,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=13447861952851706088,"Verify legal identity service lines and current status before operational use. ; Google Places profile matched PS Services, LLC; 806 Ratcliff Dr, Gillette, WY 82716, USA; (307) 696-8098; status OPERATIONAL; researched 2026-06-24",Oilfield fit requires qualification,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.3208547|-105.5182568,1,Single marker; tooltip opens on click
Arthun Engine Services,Engine / Power Equipment Service,Local,Medium,US Highway 14 industrial corridor; exact address pending,Gillette,WY,Needs direct confirmation,,44.291100,-105.502200,Discovery lead; exact facility geocode pending,Medium,Map listing visible in user-provided screenshot 2026-06-22; oilfield capability pending,User-provided Google Maps screenshot 2026-06-22,Verify field service and oilfield engine capabilities.,Oilfield-adjacent; qualification pending,New corridor discovery lead,V2.20 Gillette corridor expansion,44.2911,-105.5022,,,City centroid / physical address needed,44.291100|-105.502200,22,Constellation layout at shared city; tooltip opens on click
Black Water Environmental,Environmental / Water Management,Local,Medium,3315 Garman Rd,Gillette,WY,(307) 363-5900,https://www.blackwaterenviro.com/,44.3271555,-105.5223811,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=8971630317808618525 ; https://www.blackwaterenviro.com/,"Verify water waste remediation and energy-sector services. ; Google Places profile matched Black Water Environmental; 3315 Garman Rd, Gillette, WY 82716, USA; (307) 363-5900; status OPERATIONAL; researched 2026-06-24",Likely oilfield-adjacent; qualification pending,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.3271555|-105.5223811,1,Single marker; tooltip opens on click
D. Eldridge Safety,Safety Equipment / Field Support,Local,Medium,1704 Ratcliff Dr,Gillette,WY,(307) 680-0878,,44.32067290000001,-105.5265411,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided Google Maps screenshot 2026-06-22 ; https://maps.google.com/?cid=11424606488834153942,"Verify H2S PPE training rental and field-support capabilities. ; Google Places profile matched D. Eldridge Safety; 1704 Ratcliff Dr, Gillette, WY 82716, USA; (307) 680-0878; status OPERATIONAL; researched 2026-06-24",Oilfield-adjacent; qualification pending,Map-profile-enriched provider,V2.20 Gillette corridor expansion,44.2911,-105.5022,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,44.32067290000001|-105.5265411,1,Single marker; tooltip opens on click
