Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
Consolidated Pipe & Supply,Pipe / Valves / Fittings / Utility & Oilfield Supply,Local / Regional,Medium,1205 Hilltop Pkwy,Birmingham,AL,(205) 323-7261,http://consolidatedpipe.com/,33.5166715,-86.858474,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided lead ; public verification/direct call pending ; https://maps.google.com/?cid=18023305967783386488 ; http://consolidatedpipe.com/,"Pipe and supply house ; qualify oilfield/OCTG and energy-specific inventory by branch. ; Google Places profile matched Consolidated Pipe & Supply; 1205 Hilltop Pkwy, Birmingham, AL 35204, USA; (205) 323-7261; status OPERATIONAL; researched 2026-06-24",User-provided lead; oilfield-specific fit to confirm by service line,Map-profile-enriched provider,V2.14 User requested service-category expansion,33.5186,-86.8104,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,33.5166715|-86.858474,1,Single marker; tooltip opens on click
Lally Pipe & Tube - Alabama Yard Placeholder,Pipe / Tubulars / Casing Pipe,Regional / Gulf Coast,Medium,Yard extraction pending,Birmingham,AL,Needs direct confirmation,https://www.lallypipe.com/,33.518600,-86.810400,City-level placeholder,Medium,Company yard extraction pending,https://www.lallypipe.com/ ; https://www.lallypipe.com/products/structural-tubulars/,Placeholder for Lally Alabama yard; verify location and oilfield/OCTG capability by direct call.,Oilfield-adjacent / qualify for OCTG and casing specs,Yard placeholder,Existing V2.7 record,33.5186,-86.8104,,,City centroid / physical address needed,33.518600|-86.810400,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Pense Bros. Exploration Drilling - Brookwood Branch,Drilling Contractor / Rotary Air Drilling,Regional,Medium,City-level branch location; exact yard pending,Brookwood,AL,Needs direct confirmation,,33.255700,-87.320800,City-level geocode,Medium,Rigzone directory lead; direct call required,https://www.rigzone.com/directory/company/5889/Pense-Bros-Exploration-Drilling/,"Rigzone lists Brookwood, AL as a branch office; likely relevant to Black Warrior Basin shallow gas/CBM service search.",Confirmed oil and gas / natural gas drilling fit per Rigzone; current branch status must be verified.,Branch / drilling contractor lead,Rigzone Directory V2.10,33.2557,-87.3208,,,City centroid / physical address needed,33.255700|-87.320800,1,Single marker; tooltip opens on hover
R. L. Laughlin & Company - Cottondale,Measurement / Metering / Chart Processing,Regional / Gulf Coast / Southeast,Medium,8730 Eastview Dr.,Cottondale,AL,205-737-9020,https://rllco.com/,33.189000,-87.442500,Address ready; geocode approximate,Medium,Company source verified,https://rllco.com/,Southeast gas measurement and metering support location.,Confirmed oilfield / gas measurement specific,Branch / satellite location,Existing V2.7 record,33.189,-87.4425,,,Physical address / approximate geocode,33.189000|-87.442500,1,Single marker; tooltip opens on hover
Hoover Compliance,Compliance / Safety / Regulatory,Local / Regional,Medium,City-level office/camp; exact address pending,Little Rock,AR,Needs direct confirmation,,34.746500,-92.289600,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,Arkansas compliance/safety/regulatory lead; verify oil and gas service lines.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,34.7465,-92.2896,,,City centroid / physical address needed,34.746500|-92.289600,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Lally Pipe & Tube - Arkansas Yard Placeholder,Pipe / Tubulars / Casing Pipe,Regional / Mid-Continent,Medium,Yard extraction pending,Little Rock,AR,Needs direct confirmation,https://www.lallypipe.com/,34.746500,-92.289600,City-level placeholder,Medium,Company yard extraction pending,https://www.lallypipe.com/ ; https://www.lallypipe.com/products/structural-tubulars/,Placeholder for Lally Arkansas yard; verify location and oilfield/OCTG capability by direct call.,Oilfield-adjacent / qualify for OCTG and casing specs,Yard placeholder,Existing V2.7 record,34.7465,-92.2896,,,City centroid / physical address needed,34.746500|-92.289600,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Winn-Marion Companies - Tempe,Automation / Controls / SCADA,Regional / Multi-basin,Medium,"2125 E 5th Street, Suite 104",Tempe,AZ,Needs direct confirmation,https://winn-marion.com/,33.425500,-111.940000,Address ready; geocode approximate,Medium,Company/LinkedIn location; direct call recommended,https://winn-marion.com/ ; https://www.draeger.com/en-us_us/Safety/Winn-Marion,Southwest automation/controls support location.,Confirmed oilfield and industrial energy support,Branch / satellite location,Existing V2.7 record,33.4255,-111.94,,,Physical address / approximate geocode,33.425500|-111.940000,1,Single marker; tooltip opens on hover
Aera Energy - California oilfield service ecosystem marker,California Basin Operator / Vendor Source,State / Basin Source,Medium,,Bakersfield,CA,N/A,https://www.aeraenergy.com/,35.373300,-119.018700,Regional source placeholder,Medium,Source-development placeholder,https://www.aeraenergy.com/,California operator ecosystem marker to help identify local service companies around Kern County; not a service vendor.,Not a vendor - source marker,Basin source placeholder,Existing V2.7 record,35.3733,-119.0187,,,City centroid / no physical address,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Baker Hughes - Bakersfield Area Service Lead,Integrated Oilfield Services / Satellite District,National / Major,Standard,City-level office/camp; exact address pending,Bakersfield,CA,Needs direct confirmation,https://www.bakerhughes.com/,35.373300,-119.018700,Ready after exact address verification,High,City-level service lead; exact camp pending,https://www.bakerhughes.com/,"Satellite/district lead for Baker Hughes drilling, drill bits, wireline, completions, production chemicals and artificial lift; verify actual service lines and address.",Confirmed or likely oilfield-specific; service line/location to verify,Satellite / camp placeholder,V2.14 User requested service-category expansion,35.3733,-119.0187,,,City centroid / physical address needed,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Baker Hughes Drill Bits - Bakersfield Lead,Drill Bits / Bottomhole Assembly,National / Major,Standard,City-level office/camp; exact address pending,Bakersfield,CA,Needs direct confirmation,https://www.bakerhughes.com/drilling/drill-bits,35.373300,-119.018700,Ready after exact address verification,High,City-level lead; exact address pending,https://www.bakerhughes.com/drilling/drill-bits,City-level lead for California drill bit support; exact address pending.,Confirmed/likely oilfield-specific product fit,District / product support lead,V2.14 User requested service-category expansion,35.3733,-119.0187,,,City centroid / physical address needed,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Berry Corporation - California vendor ecosystem marker,California Basin Operator / Vendor Source,State / Basin Source,Medium,,Bakersfield,CA,N/A,https://bry.com/,35.373300,-119.018700,Regional source placeholder,Medium,Source-development placeholder,https://bry.com/,"California operator ecosystem marker to help identify oilfield supply, workover, water and construction providers in Kern County.",Not a vendor - source marker,Basin source placeholder,Existing V2.7 record,35.3733,-119.0187,,,City centroid / no physical address,35.373300|-119.018700,18,Stacked at city/coordinate; expands on hover; tooltip opens on hover
