Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
AES Drilling Fluids,Drilling / Downhole / Fluids,Google Places discovery lead,High,3575 E US Hwy 67,Big Lake,TX,(325) 884-3625,http://www.aesfluids.com/,31.1797658,-101.4014633,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=12633162246539949392,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; well service field services production support; pump and supply artificial lift production equipment; engine compressor repair service oil gas. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,31.179766|-101.401463,1,Single marker; tooltip opens on click
Andrews & Foster Drilling Co,Drilling / Downhole / Fluids,Google Places discovery lead,High,1301 E Corsicana St,Athens,TX,(903) 675-2353,http://www.andrews-foster.com/,32.2012039,-95.8331377,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=17856904821737279602,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,32.201204|-95.833138,1,Single marker; tooltip opens on click
Arcadia Oilfield Supply,Supply / Equipment / Artificial Lift,Google Places discovery lead,High,2276 Beech St,Arcadia,LA,(318) 263-8547,https://arcadiaoilfieldsupply.com/,32.5506591,-92.9242401,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=6579494277425127881,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; pipeline gathering integrity midstream construction; oilfield supply pumps equipment rental; pump and supply artificial lift production equipment. Places types: establishment; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,32.550659|-92.924240,1,Single marker; tooltip opens on click
"Bangert Well Service, Inc.",Completions / Well Service / Pressure Pumping,Google Places discovery lead,High,1 Industrial Park Rd,Clay City,IL,(618) 676-1411,,38.6882149,-88.3340955,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=4687942088815178170,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: well service field services production support; oilfield services; drilling workover wireline cementing services; gas compression processing measurement methane services; pipeline gathering integrity midstream construction; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,38.688215|-88.334095,1,Single marker; tooltip opens on click
Bar C Drilling and Welding,Drilling / Downhole / Fluids,Google Places discovery lead,High,5190 Jackrabbit Ln,Belgrade,MT,(406) 880-8794,http://barcmontana.com/,45.7472102,-111.1841683,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=13969023373304589473,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; gas compression processing measurement methane services; well service field services production support; mobile well testing hydro testing pressure testing; NDT inspection tubular pipeline integrity services. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,45.747210|-111.184168,1,Single marker; tooltip opens on click
Bee Cave Drilling Inc,Drilling / Downhole / Fluids,Google Places discovery lead,High,185 Angel Fire Dr,Dripping Springs,TX,(512) 894-4221,http://www.beecavedrilling.com/,30.2548411,-98.1659940,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=17245143302684326747,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,30.254841|-98.165994,1,Single marker; tooltip opens on click
Bob's Oil Field Services Inc.,Completions / Well Service / Pressure Pumping,Google Places discovery lead,High,3364 US-85,Belfield,ND,(701) 575-4666,https://www.bobsoilfield.com/,46.9244918,-103.1888275,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=11864061639434738501,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; well service field services production support; engine compressor repair service oil gas. Places types: establishment; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,46.924492|-103.188828,1,Single marker; tooltip opens on click
Brewingtons Well Services,Completions / Well Service / Pressure Pumping,Google Places discovery lead,High,54 Hwy 00,Fredericktown,MO,(573) 783-3096,,37.5597754,-90.2940069,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=13946601954439166493,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,37.559775|-90.294007,1,Single marker; tooltip opens on click
Bridger Drilling & Pumps,Drilling / Downhole / Fluids,Google Places discovery lead,High,107 Red Tail Hawk Dr,Belgrade,MT,(406) 388-7227,https://bridgerdrilling.com/,45.7820353,-111.2042888,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=13673492652409003183,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; drilling workover wireline cementing services; well service field services production support; mobile well testing hydro testing pressure testing. Places types: establishment; general_contractor; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,45.782035|-111.204289,1,Single marker; tooltip opens on click
Brookwood Oil Field Services,Completions / Well Service / Pressure Pumping,Google Places discovery lead,High,11756 Covered Bridge Rd,Brookwood,AL,(205) 553-3310,,33.2153400,-87.3124300,Google Places discovery exact map location; provider fit screened for oil/gas terms,High,Google Places Details enriched 2026-06-25; company-source verification still recommended before base-list merge,https://maps.google.com/?cid=3168317781744116346,Promoted from nationwide Google Places discovery batch 1. Discovery score 110; matched themes: oilfield services; gasfield natural gas well services; oilfield supply pumps equipment rental; well service field services production support. Places types: establishment; point_of_interest.,Strong Google Places oil/gas provider fit; company-source verification still recommended,Google Places discovered provider location,Nationwide Google Places discovery batch 1 2026-06-25,,,,Skipped if normalized company name or same geocoded company location already existed in live data,Public street address / Google Places geocode,33.215340|-87.312430,1,Single marker; tooltip opens on click
